ticker,year,mda_len,notes_len,esg_len,mda_path,notes_path,esg_path,status,pdf_url
FPT,2023,90645,166654,59496,data/text/extracted_text/FPT_2023_MDA.txt,data/text/extracted_text/FPT_2023_NOTES.txt,data/text/extracted_text/FPT_2023_ESG.txt,cached,
FRT,2023,0,0,0,data/text/extracted_text/FRT_2023_MDA.txt,data/text/extracted_text/FRT_2023_NOTES.txt,data/text/extracted_text/FRT_2023_ESG.txt,extracted,local_cache
GAS,2023,0,0,0,data/text/extracted_text/GAS_2023_MDA.txt,data/text/extracted_text/GAS_2023_NOTES.txt,data/text/extracted_text/GAS_2023_ESG.txt,extracted,local_cache
GMD,2023,129860,42249,27806,data/text/extracted_text/GMD_2023_MDA.txt,data/text/extracted_text/GMD_2023_NOTES.txt,data/text/extracted_text/GMD_2023_ESG.txt,cached,
HAG,2023,14868,89474,0,data/text/extracted_text/HAG_2023_MDA.txt,data/text/extracted_text/HAG_2023_NOTES.txt,data/text/extracted_text/HAG_2023_ESG.txt,cached,
HAH,2023,12482,0,0,data/text/extracted_text/HAH_2023_MDA.txt,data/text/extracted_text/HAH_2023_NOTES.txt,data/text/extracted_text/HAH_2023_ESG.txt,cached,
HDB,2023,135027,206986,88984,data/text/extracted_text/HDB_2023_MDA.txt,data/text/extracted_text/HDB_2023_NOTES.txt,data/text/extracted_text/HDB_2023_ESG.txt,cached,
HPG,2023,57133,158798,12340,data/text/extracted_text/HPG_2023_MDA.txt,data/text/extracted_text/HPG_2023_NOTES.txt,data/text/extracted_text/HPG_2023_ESG.txt,cached,
HSG,2023,128729,197972,22551,data/text/extracted_text/HSG_2023_MDA.txt,data/text/extracted_text/HSG_2023_NOTES.txt,data/text/extracted_text/HSG_2023_ESG.txt,cached,
KBC,2023,30608,0,4417,data/text/extracted_text/KBC_2023_MDA.txt,data/text/extracted_text/KBC_2023_NOTES.txt,data/text/extracted_text/KBC_2023_ESG.txt,cached,
KDH,2023,80724,205280,32541,data/text/extracted_text/KDH_2023_MDA.txt,data/text/extracted_text/KDH_2023_NOTES.txt,data/text/extracted_text/KDH_2023_ESG.txt,cached,
MBB,2023,121673,297571,48952,data/text/extracted_text/MBB_2023_MDA.txt,data/text/extracted_text/MBB_2023_NOTES.txt,data/text/extracted_text/MBB_2023_ESG.txt,cached,
MSN,2023,161202,281166,25756,data/text/extracted_text/MSN_2023_MDA.txt,data/text/extracted_text/MSN_2023_NOTES.txt,data/text/extracted_text/MSN_2023_ESG.txt,cached,
MWG,2023,62085,85515,10657,data/text/extracted_text/MWG_2023_MDA.txt,data/text/extracted_text/MWG_2023_NOTES.txt,data/text/extracted_text/MWG_2023_ESG.txt,cached,
NKG,2023,0,0,0,data/text/extracted_text/NKG_2023_MDA.txt,data/text/extracted_text/NKG_2023_NOTES.txt,data/text/extracted_text/NKG_2023_ESG.txt,extracted,local_cache
NVL,2023,155425,264854,12228,data/text/extracted_text/NVL_2023_MDA.txt,data/text/extracted_text/NVL_2023_NOTES.txt,data/text/extracted_text/NVL_2023_ESG.txt,cached,
PDR,2023,147678,118260,79984,data/text/extracted_text/PDR_2023_MDA.txt,data/text/extracted_text/PDR_2023_NOTES.txt,data/text/extracted_text/PDR_2023_ESG.txt,cached,
PVD,2023,156030,302145,53229,data/text/extracted_text/PVD_2023_MDA.txt,data/text/extracted_text/PVD_2023_NOTES.txt,data/text/extracted_text/PVD_2023_ESG.txt,cached,
SBT,2023,0,0,0,data/text/extracted_text/SBT_2023_MDA.txt,data/text/extracted_text/SBT_2023_NOTES.txt,data/text/extracted_text/SBT_2023_ESG.txt,extracted,local_cache
SSI,2023,0,0,0,data/text/extracted_text/SSI_2023_MDA.txt,data/text/extracted_text/SSI_2023_NOTES.txt,data/text/extracted_text/SSI_2023_ESG.txt,extracted,local_cache
TCB,2023,201705,202478,25266,data/text/extracted_text/TCB_2023_MDA.txt,data/text/extracted_text/TCB_2023_NOTES.txt,data/text/extracted_text/TCB_2023_ESG.txt,cached,
VCB,2023,119635,193290,39632,data/text/extracted_text/VCB_2023_MDA.txt,data/text/extracted_text/VCB_2023_NOTES.txt,data/text/extracted_text/VCB_2023_ESG.txt,cached,
VCI,2023,108840,204597,11344,data/text/extracted_text/VCI_2023_MDA.txt,data/text/extracted_text/VCI_2023_NOTES.txt,data/text/extracted_text/VCI_2023_ESG.txt,cached,
VHM,2023,125971,239731,10239,data/text/extracted_text/VHM_2023_MDA.txt,data/text/extracted_text/VHM_2023_NOTES.txt,data/text/extracted_text/VHM_2023_ESG.txt,cached,
VIB,2023,0,0,0,data/text/extracted_text/VIB_2023_MDA.txt,data/text/extracted_text/VIB_2023_NOTES.txt,data/text/extracted_text/VIB_2023_ESG.txt,extracted,local_cache
VIC,2023,121776,248956,33561,data/text/extracted_text/VIC_2023_MDA.txt,data/text/extracted_text/VIC_2023_NOTES.txt,data/text/extracted_text/VIC_2023_ESG.txt,cached,
VND,2023,0,0,0,data/text/extracted_text/VND_2023_MDA.txt,data/text/extracted_text/VND_2023_NOTES.txt,data/text/extracted_text/VND_2023_ESG.txt,extracted,local_cache
VNM,2023,0,0,0,data/text/extracted_text/VNM_2023_MDA.txt,data/text/extracted_text/VNM_2023_NOTES.txt,data/text/extracted_text/VNM_2023_ESG.txt,extracted,local_cache
VPB,2023,86068,119596,70141,data/text/extracted_text/VPB_2023_MDA.txt,data/text/extracted_text/VPB_2023_NOTES.txt,data/text/extracted_text/VPB_2023_ESG.txt,cached,
ACB,2022,0,0,0,data/text/extracted_text/ACB_2022_MDA.txt,data/text/extracted_text/ACB_2022_NOTES.txt,data/text/extracted_text/ACB_2022_ESG.txt,extracted,local_cache
