item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Tăng trưởng vốn chủ sở hữu,owners_equity,21.11,19.45,22.22,21.11,FPT
Tăng trưởng vốn điều lệ,charter_capital,16.64,15.84,15.8,16.64,FPT
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.27,0.2,0.25,0.27,FPT
Tỷ số thanh toán nhanh,quick_ratio,1.42,1.3,1.35,1.42,FPT
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,1.02,0.9,0.97,1.02,FPT
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,1.48,1.36,1.4,1.48,FPT
Khả năng thanh toán lãi vay,interest_coverage,15.45,20.85,17.9,15.45,FPT
Vòng quay phải thu khách hàng,receivables_turnover,1.52,1.5,1.67,1.52,FPT
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,240.05,243.12,218.26,240.05,FPT
Vòng quay hàng tồn kho,inventory_turnover,5.18,4.95,6.25,5.18,FPT
Thời gian tồn kho bình quân,days_of_inventory_on_hand,70.44,73.77,58.44,70.44,FPT
Vòng quay phải trả nhà cung cấp,payables_turnover,3.54,2.54,3.86,3.54,FPT
Thời gian trả tiền khách hàng bình quân,number_of_days_of_payables,103.09,143.44,94.56,103.09,FPT
Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định),fixed_asset_turnover,1.02,1.06,1.18,1.02,FPT
Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản),total_asset_turnover,0.21,0.22,0.24,0.21,FPT
Vòng quay vốn chủ sở hữu,equity_turnover,0.42,0.44,0.47,0.42,FPT
Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả,short_term_liabilities_to_total_liabilities,90.92,93.95,93.72,90.92,FPT
Tỷ số Nợ vay trên Tổng tài sản,debt_to_assets,23.67,26.09,23.92,23.67,FPT
Tỷ số Nợ trên Tổng tài sản,liabilities_to_assets,48.23,48.79,50.33,48.23,FPT
Tỷ số Vốn chủ sở hữu trên Tổng tài sản,equity_to_assets,51.76,51.21,49.66,51.76,FPT
Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu,short_term_liabilities_to_equity,84.73,89.51,94.98,84.73,FPT
Tỷ số Nợ vay trên Vốn chủ sở hữu,debt_to_equity,45.74,50.95,48.17,45.74,FPT
Tỷ số Nợ trên Vốn chủ sở hữu,liabilities_to_equity,93.18,95.27,101.35,93.18,FPT
Tỷ số dòng tiền HĐKD trên doanh thu thuần,accrual_ratio_cf,0.0,-15.61,0.0,0.0,FPT
Khả năng chi trả nợ ngắn hạn từ dòng tiền HĐKD,cash_to_income,0.0,-7.39,0.0,0.0,FPT
Khả năng chi trả nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ,net_cash_flows_short_term_liabilities,0.0,-7.76,0.0,0.0,FPT
Tỷ lệ dồn tích (Phương pháp Cân đối kế toán),accrual_ratio_balance_sheet_method,0.0,0.0,0.0,0.0,FPT
Tỷ lệ dồn tích (Phương pháp Dòng tiền),accrual_ratio_cash_flow_method,0.0,0.0,0.0,0.0,FPT
Dòng tiền từ HĐKD trên Tổng tài sản,cash_return_to_assets,0.0,-3.39,0.0,0.0,FPT
Dòng tiền từ HĐKD trên Vốn chủ sở hữu,cash_return_on_equity,0.0,-6.62,0.0,0.0,FPT
Dòng tiền từ HĐKD trên Lợi nhuận thuần từ HĐKD,cash_to_income_2,0.0,-83.74,0.0,0.0,FPT
Khả năng thanh toán nợ từ dòng tiền HĐKD,debt_coverage,0.0,-6.94,0.0,0.0,FPT
Dòng tiền từ HĐKD trên mỗi cổ phần (CPS),cash_flow_per_share_cps,0.0,-1704.14,0.0,0.0,FPT
